Code,Content,Cubes,Information
71231,Realsteuervergleich,8,true
71311,Vierteljährl. Schulden d. öffentl. Gesamthaushalts,18,true
71321,Jährliche Schulden d. öffentlichen Gesamthaushalts,21,true
71329,"Jährl. Schulden der sonst. öff. Fonds, Einr., Unt.",8,true
71411,Finanzvermögen des öffentlichen Gesamthaushalts,17,true
71811,"Jahresabschlüsse kfm. b. Extrahh., sonst. öff. FEU",72,true
73111,Lohn- und Einkommensteuerstatistik,15,true
73121,"Statistik ü. Personengesellschaften,Gemeinschaften",10,true
73141,Statistik der Rentenbezugsmitteilungen,4,true
73151,Lohnsteuerstatistik (Anmeldungen),8,true
73211,Körperschaftsteuerstatistik,5,true
73311,Umsatzsteuerstatistik (Voranmeldungen),36,true
73321,Umsatzsteuerstatistik (Veranlagungen),30,true
73411,Tabaksteuerstatistik,6,true
73421,Biersteuerstatistik,2,true
73423,Schaumweinsteuerstatistik,1,true
73431,Energiesteuerstatistik,1,true
73432,Stromsteuerstatistik,1,true
73441,Alkoholsteuerstatistik,1,true
73511,Gewerbesteuerstatistik,8,true
73611,Erbschaft- und Schenkungsteuerstatistik,10,true
73991,Geschäftsstatistik zur Luftverkehrsteuer,2,true
74111,Personalstandstatistik des öffentlichen Dienstes,20,false
74211,Versorgungsempfängerstatistik,48,true
79994,Vergabestatistik,102,true
81000,Volkswirtschaftliche Gesamtrechnungen des Bundes,69,true
81511,Input-Output-Rechnung,6,true
81711,Satellitensysteme,13,false
82111,VGR der Länder: Entstehungsrechnung,4,true
82411,VGR der Länder: Umverteilungsrechnung,2,true
85111,Luftemissionsrechnung,13,true
85131,Einzelne Materialien,7,true
85141,Wassergesamtrechnung,2,false
85211,Bodennutzung,2,true
85221,Ausmaß der Ökosysteme,8,true
85411,Ausgaben und Anlagevermögen für den Umweltschutz,3,true
85421,Umweltbezogene Steuern und Gebühren,4,true
91111,Nachhaltige Entwicklung in Deutschland,2,true
91211,Wissenschafts- und Technologieindikatoren,2,true
91311,Kulturindikatoren,2,true
99911,Internationale Indikatoren,13,false
